Number,Reaction,(E/R)/K,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,System,Reference,Notes,Reference_Text
275,I+I+CH₃Cl → I₂+CH₃Cl,,,,,1.10E-31,0,294,I₂ (F.P),,101,78,"Basila, J. R. and Strong, R. L., J. Am. Chem. Soc., 96, 701, 1974."
276,I+I+C₂H₅Cl → I₂+C₂H₅Cl,,,,,1.59E-31,0,294,I₂ (F.P),,101,78,"Basila, J. R. and Strong, R. L., J. Am. Chem. Soc., 96, 701, 1974."
277,I+I+CH₃Br → I₂+CH₃Br,,,,,1.48E-31,0,294,I₂ (F.P),,101,78,"Basila, J. R. and Strong, R. L., J. Am. Chem. Soc., 96, 701, 1974."
278,I+Cl+N₂ → ICl+N₂,,,,,1.70E-31,0,325,ICl (F.P.),,105,77,"Maier, H. N. and Lampe, F. W., J. Phys. Chem., 77, 430, 1973."
279,I+Cl+CO₂ → ICl+CO₂,,,,,4.27E-31,0,325,ICl (F.P.),,105,77,"Maier, H. N. and Lampe, F. W., J. Phys. Chem., 77, 430, 1973."
280,I+Cl+ICl → ICl+ICl,,,,,1.20E-30,0,325,ICl (F.P.),,105,77,"Maier, H. N. and Lampe, F. W., J. Phys. Chem., 77, 430, 1973."
283,H+O₂+He →  HO₂ + O₂,,,,,2.46E-32,0,293,"         
H₂ (Pulse-radiolysis)
",Direct,107,,"Hack, W., Wagner, H. Gg., and Hoyermann, K., Ber. Bunsenges. Phys. Chem., 82, 713, 1978."
284,H + O₂ + O₂ →   HO₂  + O₂,,,,,5.79E-32,-1,200,H₂ discharge,Direct,164,90,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
285,H + O₂ + O₂ →   HO₂  + O₂,,,,,5.79E-32,-1,300,H₂ discharge,Direct,164,120,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
286,H + O₂ + N₂ → HO₂  + N₂,,,,,5.79E-32,-1,200,,,164,80,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
287,H + O₂ + N₂ → HO₂  + N₂,,,,,5.79E-32,-1,300,,,164,"109,143","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
288,H + O₂ + N₂ → HO₂  + N₂,,,,,3.32E-32,0,425,O+H₂ → OH + H and O+OH → O₂ + H,See Notes,111,"109,143","Campbell, I. M., Rogerson, J. S., and Handy, B. J., J. Chem. Soc., Faraday Trans. 1, 74, 2672, 1978."
289,H + O₂ + H₂O → HO₂  + H₂O,,,,,8.72E-32,0,1500,CH₄/ air flame,See Notes,139,"109,143","Teets, R. E. and Bechtel, J. H., Symp. (Int.) Combust., [Proc.], 18, 425, 1981."
290,H + O₂  + M →  HO₂ + M,,,,,1.38E-36,0,349,NH₃/O₂ (Pulse radiolysis),See Notes,121,"109,143","Pagsberg, P. B., Eriksen, J., and Christensen, H. C., J. Phys. Chem., 83. 582, 1979."
291,H + O₂  + M →  HO₂ + M,,,,,5.51E-32,-1.6,200,,,164,84,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
292,H + O₂  + M →  HO₂ + M,,,,,5.51E-32,-1.6,300,,,164,"117,121,122","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
293,H+CO+H₂ → HCO + H₂,,,,,1.05E-34,0,Room Temp,H₂O/CO/H₂ (F.P),See Notes,137,94,"Hochanadel, C. J., Sworski, T. J., and Ogren, P. J., J. Phys. Chem., 84, 231, 1980."
294,H+CO+N₂ → HCO + N₂,,,,,3.99E-34,0,425,O+H₂ → OH +H,See Notes,108,"109,131","Campbell, I. M. and Handy, B. J., J. Chem. Soc., Faraday Trans. 1, 74, 316, 1978."
295,H+CO+Ar → HCO + Ar,,,,,2.69E-34,0,425,O+H₂ → OH +H,See Notes,108,"109,131","Campbell, I. M. and Handy, B. J., J. Chem. Soc., Faraday Trans. 1, 74, 316, 1978."
296,H+CO+CH₄→ HCO + CH₄,,,,,1.59E-34,0,Room Temp,H₂O/CO/CH₄ (F.P),See Notes,137,"118,119","Hochanadel, C. J., Sworski, T. J., and Ogren, P. J., J. Phys. Chem., 84, 231, 1980."
297,H+CO+CH₄→ HCO + CH₄,,,,,1.00E-34,0,Room Temp,H₂O/CO (F.P),See Notes,137,81,"Hochanadel, C. J., Sworski, T. J., and Ogren, P. J., J. Phys. Chem., 84, 231, 1980."
298,H+SO₂ + M → HSO₂ + M,,,,,6.03E-33,0,305,H₂/maser,Direct,162,"123,148,151","Gordon, E. B., Ivanov, B. I., Perminov, A. P., and Balalaev, V. E., Chem. Phys., 35, 79, 1978."
299,D+O₂+D → DO₂ + D₂,,,,,2.89E-32,0,Room Temp,D₂ (Pulse Radiolysis),Direct,117,148,"Ishikawa, Y., Sugawara, K., and Sato, S., Bull. Chem. Soc. Jpn., 52, 3503, 1979."
300,O+O₂+He → O₃ +He,,,,,2.51E-34,0,296,O₂ (Pulse Radiolysis),Direct,126,148,"Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 1344, 1980."
301,O+O₂+He → O₃ +He,,,,,3.47E-34,0,298,O₂ / He (F.P),Direct,146,163,"Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
302,O+O₂+Ar→ O₃ + Ar,-525,,,6.17E-35,,0,263,O₃ (Laser F.P),Direct,126,90,"Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 1344, 1980."
303,O+O₂+Ar→ O₃ + Ar,-535,,,6.32E-35,,0,219,O₂ / Ar (F.P),Direct,145,89,"Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
304,O+O₂+Ar→ O₃ + Ar,-687,,,,3.72E-35,0,220,O₂ / Ar (F.P),Direct,146,132,"Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
305,O+O₂+N₂→ O₃ + N₂,-995,,,1.82E-35,,0,263,O₃ (Laser F.P),Direct,116,89,"Arnold, I. and Comes, F. J., Chem. Phys., 42, 231, 1979."
306,O+O₂+N₂→ O₃ + N₂,-575,,,8.72E-35,,0,219,O₂/N₂ (F.P),Direct,145,"132,133","Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
307,O+O₂+N₂→ O₃ + N₂,-724,,,5.02E-35,,0,218,O₂/N₂ (F.P),Direct,146,"132,138","Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
308,O+O₂+N₂→ O₃ + N₂,,,,,5.79E-34,-2.8,200,,,164,89,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
309,O+O₂+O₂→O₃+O₂,-635,,,6.77E-35,,0,262,O₃ (Laser F.P),Direct,116,"132,134","Arnold, I. and Comes, F. J., Chem. Phys., 42, 231, 1979."
310,O+O₂+Ar→ O₃ + Ar,-525,,,6.17E-35,,0,298,O₃ (Laser F.P),Direct,126,"132,139","Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 1344, 1980."
311,O+O₂+Ar→ O₃ + Ar,-535,,,6.32E-35,,0,368,O₂ / Ar (F.P),Direct,145,165,"Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
312,O+O₂+Ar→ O₃ + Ar,-687,,,,3.72E-35,0,353,O₂ / Ar (F.P),Direct,146,89,"Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
313,O+O₂+N₂→ O₃ + N₂,-995,,,1.82E-35,,0,309,O₃ (Laser F.P),Direct,116,89,"Arnold, I. and Comes, F. J., Chem. Phys., 42, 231, 1979."
314,O+O₂+N₂→ O₃ + N₂,-575,,,8.72E-35,,0,368,O₂/N₂ (F.P),Direct,145,"132,133","Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
315,O+O₂+N₂→ O₃ + N₂,-724,,,5.02E-35,,0,366,O₂/N₂ (F.P),Direct,146,"132,138","Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
316,O+O₂+N₂→ O₃ + N₂,,,,,5.79E-34,-2.8,300,,,164,89,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
317,O+O₂+O₂→O₃+O₂,-635,,,6.77E-35,,0,319,O₃ (Laser F.P),Direct,116,"132,134","Arnold, I. and Comes, F. J., Chem. Phys., 42, 231, 1979."
318,O+O₂+O₂→O₃+O₂,,,,,1.10E-33,0,296,O₂ (Pulse Radiolysis),Direct,126,"132,139","Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 1344, 1980."
319,O+O₂+O₂→O₃+O₂,,,,,4.08E-34,0,Room Temp,O₃/O₂ (F.P),See Notes,127,165,"Ogren, P. J., Sworski, T. J., Hochanadel, C. J., and Cassel, J. M., J. Phys. Chem., 86, 238, 1982."
320,O+O₂+O₂→O₃+O₂,,,,,4.37E-34,0,300,O₂ discharge,Direct,141,89,"Flesca, N. G., Diamy, A.-M., and Ben-Aim, R. I., J. Chim. Phys. Phys. Chim. Biol., 76, 681, 1979."
321,O+O₂+O₂→O₃+O₂,-345,,,,,0,219,O₂ (F.P),Direct,145,89,"Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
322,O+O₂+O₂→O₃+O₂,-663,,,,,0,227,O₂ (F.P),Direct,146,101,"Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
323,O+O₂+O₂→O₃+O₂,,,,,6.34E-34,-2,200,,,164,79,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
324,O+O₂+M → O₃+ M,-525,,,,,0,220,,,145,"132,135","Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
325,O+O₂+M → O₃+ M,,,,,6.34E-34,-1.9,220,,,145,"132,140","Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
326,O+O₂+M → O₃+ M,-715,,,,,0,218,,,146,165,"Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
327,O+O₂+M → O₃+ M,,,,,5.76E-34,-2.57,218,,,146,"136,137","Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
328,O+O₂+M → O₃+ M,,,,,6.07E-34,-2.3,200,,,164,"136,137","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
329,O+O₂+M → O₃+ M,,,,4.68E-36,,0,200,,,164,"136,141","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
330,O+CO+M→CO₂+M,-2300,,,7.77E-35,,0,1300,See Notes,See Notes,109,"136,141","Hardy, J. E., Gardiner, W. C., Jr., and Burcat, A., Int. J. Chem. Kinet.. 10, 503, 1978."
331,O+CO+M→CO₂+M,805,,,,,0,348,CO/O₃ (T),Relative,159,"136,165","Toby, S. and Ullrich, E., Int. J. Chem. Kinet., 12, 535, 1980."
332,O+O₂+O₂→O₃+O₂,-345,,,,,0,368,O₂ (F.P),Direct,145,"109,123,131","Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
333,O+O₂+O₂→O₃+O₂,-663,,,,,0,353,O₂ (F.P),Direct,146,82,"Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
334,O+O₂+O₂→O₃+O₂,,,,,6.34E-34,-2,300,,,164,"159,160","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
335,O+O₂+M → O₃+ M,-525,,,,,0,360,,,145,"132,135","Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
336,O+O₂+M → O₃+ M,,,,,6.34E-34,-1.9,360,,,145,"132,140","Klais, O., Anderson, P. C., and Kurylo, M. J., Int. J. Chem. Kinet., 12, 469, 1980."
337,O+O₂+M → O₃+ M,-715,,,,,0,366,,,146,165,"Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
338,O+O₂+M → O₃+ M,,,,,5.76E-34,-2.57,366,,,146,"137,138","Lin, C. L. and Leu, M. T., Int. J. Chem. Kinet., 14, 417, 1982."
339,O+O₂+M → O₃+ M,,,,,6.07E-34,-2.3,300,,,164,"137,138","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
340,O+O₂+M → O₃+ M,,,,4.68E-36,,0,300,,,164,"137,142","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
341,O+CO+M→CO₂+M,-2300,,,7.77E-35,,0,2200,See Notes,See Notes,109,"137,142","Hardy, J. E., Gardiner, W. C., Jr., and Burcat, A., Int. J. Chem. Kinet.. 10, 503, 1978."
342,O+CO+M→CO₂+M,805,,,,,0,433,CO/O₃ (T),Relative,159,"137,165","Toby, S. and Ullrich, E., Int. J. Chem. Kinet., 12, 535, 1980."
343,O+CO+He→CO₂+He,,,,,1.00E-35,0,294,CO (Pulse radiolysis),Direct,126,"109,123,131","Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 1344, 1980."
344,O+CO₂+He→CO₃+He,,,,,2.76E-35,0,294,CO (Pulse radiolysis),Direct,126,82,"Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 1344, 1980."
345,O+CO+CO → CO₂ + CO,,,,,<4.3701686298E-36,0,296,CO₂ (Pulse radiolysis),Direct,126,"159,160","Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 1344, 1980."
346,O+SO₂+ M → SO₃ + M,,,,,2.04E-33,0,2250,CH₄/H₂S/air flame,See Notes,136,89,"Merryman, E. L. and Levy, A., Symp. (Int.) Combust., [Proc.). 17, 727, 1979."
347,O+SO₂+ M → SO₃ + M,-3163,,,1.20E-33,,0,1435,CO/SO₂/O₂/Ar flame,See Notes,135,89,"Smith, O. I., Tseregounis, S., and Wang, S., Int. J. Chem. Kinet., 14, 679, 1982."
348,O+SO₂+ M → SO₃ + M,1000,,,4.08E-32,,0,200,,,164,89,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
349,O+SO₂+ M → SO₃ + M,-3163,,,1.20E-33,,0,1850,CO/SO₂/O₂/Ar flame,See Notes,135,117,"Smith, O. I., Tseregounis, S., and Wang, S., Int. J. Chem. Kinet., 14, 679, 1982."
350,O+SO₂+ M → SO₃ + M,1000,,,4.08E-32,,0,400,,,164,116,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
351,O+SO₂+ M → SO₃ + M,,,,,1.41E-33,0,298,,,164,"143,165,166","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
352,O+SO₂+ N₂ → SO₃ + N₂,,,,,1.35E-33,0,299,SO₂/NO (F.P),Direct,112,116,"Atkinson, R. and Pitts, J. N., Jr., Int. J. Chem. Kinet., 10, 1081, 1978."
353,O+SO₂+ Ar → SO₃ + Ar,1010,,,3.09E-32,,0,299-400,SO₂/NO (F.P),Direct,112,"143,165,166","Atkinson, R. and Pitts, J. N., Jr., Int. J. Chem. Kinet., 10, 1081, 1978."
354,O+SO₂+ SO₂ → SO₃ + SO₂,,,,,9.56E-33,0,299,SO₂/NO (F.P),Direct,112,"109,143,166","Atkinson, R. and Pitts, J. N., Jr., Int. J. Chem. Kinet., 10, 1081, 1978."
355,F+O₂ + M → FO₂ + M,-905,,,2.76E-34,,0,223,F₂ discharge,Direct,152,85,"Shamonima, N. F. and Kotov, A. G., Kinet. Katal., 20, 233, 1979."
356,F+O₂ + M → FO₂ + M,-905,,,2.76E-34,,0,293,F₂ discharge,Direct,152,85,"Shamonima, N. F. and Kotov, A. G., Kinet. Katal., 20, 233, 1979."
357,F+O₂ + M → FO₂ + M,,,,,3.17E-33,0,296,F₂ (Laser P),Direct,122,85,"Smith, I. W. M. and Wrigley, D. J., Chem. Phys. Lett., 70, 481, 1980."
358,F+O₂ + M → FO₂ + M,,,,,3.72E-33,0,295,F₂ (Laser F.P.),Direct,123,"153,154","Smith, I. W. M. and Wrigley, D. J., Chem. Phys., 63, 321, 1981."
359,F+O₂ + M → FO₂ + M,,,,,1.10E-32,0,Room Temp.,WF₆/H₂/O₂/He (Laser F.P.),Direct,153,"153,154","Chebotarev, N. F., Kinet. Katal., 20, 1381, 1979."
360,F+O₂ + M → FO₂ + M,,,,,5.76E-33,0,291,,,169,95,"Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
361,F+O₂ + M → FO₂ + M,,,,,1.60E-32,-1.4,200,,,165,"95,96","DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modelling, JPL Publ.. Pasadena, Calif., 1983, 83."
362,F+O₂ + M → FO₂ + M,,,,,1.30E-32,-1.4,200,,,164,155,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
363,F+O₂ + M → FO₂ + M,,,,,5.50E-35,0,200,,,164,"109,144","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
364,F+O₂ + M → FO₂ + M,,,,,5.76E-33,0,300,,,169,"109,136,143","Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
365,F+O₂ + M → FO₂ + M,,,,,1.60E-32,-1.4,300,,,165,"109,143,166","DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modelling, JPL Publ.. Pasadena, Calif., 1983, 83."
366,F+O₂ + M → FO₂ + M,,,,,1.30E-32,-1.4,300,,,164,"109,123,131","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
367,F+O₂ + M → FO₂ + M,,,,,5.50E-35,0,300,,,164,"109,144","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
368,F+CO+He→COF+He,,,,,5.50E-32,0,295,,,169,"109,136,143","Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
369,Cl+O₂+M → ClO₂+M,,,,,2.29E-34,0,298,Cl₂/H₂/O₂ (F.P.),Relative,"120,130","109,143,166","Streit, G. E., Wells, J. S., Fehsenfeld, F. C., and Howard, C. J., J. Chem. Phys., 70, 3439, 1979. , Kharitonov, A. P., Suetinov, A. P., and Moskvin, Yu. L., Kinet. Katal., 22, 858, 1981."
370,Cl+O₂+M → ClO₂+M,,,,,2.01E-33,-1.4,200,,,165,"109,123,131","DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modelling, JPL Publ.. Pasadena, Calif., 1983, 83."
371,Cl+O₂+M → ClO₂+M,,,,,2.01E-33,-1.4,300,,,165,109,"DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modelling, JPL Publ.. Pasadena, Calif., 1983, 83."
372,Cl+SO₂+Ar→ClSO₂+Ar,,,,,1.29E-33,0,295,Cl₂ discharge,Direct,115,93,"Stratton, L. W., Eibling, R. E., and Kaufmann, M., Atmos. Environ.. 13, 175, 1979."
373,Cl+SO₂+N₂→ClSO₂+N₂,,,,,2.29E-33,0,295,Cl₂ discharge,Direct,115,"109,136,143","Stratton, L. W., Eibling, R. E., and Kaufmann, M., Atmos. Environ.. 13, 175, 1979."
374,Cl+SO₂+SO₂→ClSO₂+SO₂,,,,,1.91E-32,0,295,Cl₂ discharge,Direct,115,"109,136,143","Stratton, L. W., Eibling, R. E., and Kaufmann, M., Atmos. Environ.. 13, 175, 1979."
375,Na+O₂+He→NaO₂+He,,,,,5.50E-31,0,724,NaI (F.P.),Direct,131,88,"Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 163, 1982."
376,Na+O₂+N₂→NaO₂+N₂,,,,,1.00E-30,0,724,NaI (F.P.),Direct,131,88,"Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 163, 1982."
377,Na+O₂+CO₂→NaO₂+CO₂,,,,,2.19E-30,0,724,NaI (F.P.),Direct,131,88,"Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 163, 1982."
378,K+O₂+He→KO₂+He,,,,,9.93E-28,-1,753,KI (F.P.),Direct,132,"111,112","Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 1175, 1982."
379,K+O₂+N₂→KO₂+N₂,,,,,1.71E-27,-1,753,KI (F.P.),Direct,132,"111,112","Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 1175, 1982."
380,K+O₂+CO₂→KO₂+CO₂,,,,,5.51E-27,-1,753,KI (F.P.),Direct,132,"111,112","Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 1175, 1982."
381,Na+O₂+He→NaO₂+He,,,,,5.50E-31,0,844,NaI (F.P.),Direct,131,113,"Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 163, 1982."
382,Na+O₂+N₂→NaO₂+N₂,,,,,1.00E-30,0,844,NaI (F.P.),Direct,131,113,"Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 163, 1982."
383,Na+O₂+CO₂→NaO₂+CO₂,,,,,2.19E-30,0,844,NaI (F.P.),Direct,131,113,"Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 163, 1982."
384,K+O₂+He→KO₂+He,,,,,9.93E-28,-1,873,KI (F.P.),Direct,132,"111,112","Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 1175, 1982."
385,K+O₂+N₂→KO₂+N₂,,,,,1.71E-27,-1,873,KI (F.P.),Direct,132,"111,112","Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 1175, 1982."
386,K+O₂+CO₂→KO₂+CO₂,,,,,5.51E-27,-1,873,KI (F.P.),Direct,132,"111,112","Husain, D. and Plane, J. M. C., J. Chem. Soc., Faraday Trans. 2, 78, 1175, 1982."
387,CH₃+O₂+M→CH₃O₂+M,,,,,"[2.7573899936E-32,5.5017163419E-32 ]",0,295,F₂/CH₄/O₂ (T),Direct,157,113,"Nadtochenko, V. A., Fedotov, N. G., Vedeneev, V. I., and Sarkisov, O. M., Dokl. Akad. Nauk. SSSR., 238, 1391, 1978."
388,CH₃+O₂+M→CH₃O₂+M,,,,,1.59E-31,0,298,O+C₂H₄ → CH₃ + HCO,Relative,125,113,"Washida, N., J. Chem. Phys., 73, 1665, 1980."
389,CH₃+O₂+M→CH₃O₂+M,,,,,3.39E-31,0,295,F+CH₄ → CH₃ + HF,Direct,133,113,"Plumb, I. C. and Ryan, K. R., Int. J. Chem. Kinetc., 14, 861, 1982."
390,CH₃+O₂+M→CH₃O₂+M,,,,,5.51E-31,-2,200,,,"164,165","
","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984., DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modelling, JPL Publ.. Pasadena, Calif., 1983, 83.
"
391,CH₃+O₂+M→CH₃O₂+M,,,,,3.31E-36,-1.7,200,,,165,100,"DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modelling, JPL Publ.. Pasadena, Calif., 1983, 83."
392,CH₃+O₂+M→CH₃O₂+M,,,,,3.02E-36,0,200,,,164,114,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
393,CH₃+O₂+M→CH₃O₂+M,,,,,5.51E-31,-2,300,,,"164,165","136,165,166","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984., DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modelling, JPL Publ.. Pasadena, Calif., 1983, 83.
"
394,CH₃+O₂+M→CH₃O₂+M,,,,,3.31E-36,-1.7,300,,,165,"109,131,136","DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modelling, JPL Publ.. Pasadena, Calif., 1983, 83."
395,CH₃+O₂+M→CH₃O₂+M,,,,,3.02E-36,0,300,,,164,"109,123,131","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
396,CH₃+CO+M→CH₃CO+M,,,,,3.02E-42,0,298,(CH₃)₂N₂ (Modulated P),Relative,140,"136,165,166","Parkes, D. A., Chem. Phys. Lett., 77, 527, 1981."
